\KEY,EN,VN
GS_INIT_GAME,Initial Game,Khởi động game
GS_LOGOUT_NORMAL,Normal Logout, Thoát game
GS_LOGOUT_MERGE_FB,Logout to merge Facebook, Thoát để đăng nhập Facebook
GS_LOGIN_NOT_SUCCESS,Login not success,Đăng nhập không thành công
GS_LOGIN_ERROR,Login error,Đăng nhập bị lỗi
GS_RECONNECT_TIMEOUT,Reconnect timeout. Please check the internet connection and sign in again,Kết nối không thành công. Vui lòng kiểm tra kết nối mạng và đăng nhập lại
GS_REQUEST_TIMEOUT,"Network Error",Vui lòng kiểm tra kết nối mạng và đăng nhập lại
GS_CANCEL_FB, Login Cancel Facebook , Hủy đăng nhập Facebook
GS_LOGINFB_ERROR,Login Error Facebook ,Đăng nhập Facebook bị lỗi
GS_GAME_BAN,This account is locked, Tài Khoản của bạn đã bị khóa
GS_GAME_KICK,Other person is using your account, Người khác đang dùng tài khoản của bạn 
GS_GAME_IDLE,Connection timeout. Please sign in again,Hết thời gian kết nối. Vui lòng đăng nhập lại
GS_LOGIN_ERROR_BAN,This account is banned,Tài khoản của bạn đã bị khóa
GS_GAME_UNKNOWN,Connection lost, Mất kết nối
JOIN_ROOM_NOT_ENOUGH_CHIP,You don't have enough chips. You need {0} chips to join this room. Do you want to topup more chips?,Bạn không đủ xu. Bạn cần {0} xu để vào phòng này. Bạn có muốn nạp thêm xu?


MSG_OK,OK,Đồng ý
MSG_ACCEPT,Accept,Chấp nhận
MSG_CANCEL,Cancel,Hủy
MSG_YES,Yes,Đồng ý
MSG_NO,No,Không
SYSTEM_MESSAGE_TITLE,System Message,Thông báo hệ thống
TOOLTIP_ACCEPT,Accept,Chấp nhận
TOOLTIP_CANCEL,Cancel,Hủy
BOX_BACK,BACK,THOÁT
EXIT_CONFIRM,Do you want to exit?,Bạn có muốn thoát không?
BACK_MAINMENU_CONFIRM,Do you want to exit?,Bạn có muốn thoát không?
BACK_MAINMENU_CONFIRM_PLAYING,The game is on playing. If you exit now you may be lost money. You can wait until game ending. ,Ván game đang diễn ra. Nếu thoát bạn có thể mất tiền.
FEEDBACK_THANKS,Thanks for your feedback,Cám ơn bạn đã góp ý!
TAP_TO_FEEDBACK,Touch to write feedback,Chạm vào để viết góp ý
PLAY_NOW_NOT_FOUND,All rooms are busy. Do you want to play other game?,Tất cả các bàn đều bận. Bạn có muốn chơi game khác?
ALL_ROOM_ARE_BUSY,Sorry all rooms are full . Do you want to continue to find room ?,Tất cả các bàn đã đầy. Bạn có muốn chơi game khác?
PLAY_OTHER_GAME,Play Other,Game khác
CREATE_NEW_ROOM,New Room, Tạo phòng
PLAY_NOW,PLAY NOW,CHƠI NGAY
MERGE_FB_REQUEST,Please login Facebook to invite friends.Ok?,Bạn cần đăng nhập tài khoản Facebook để mời bạn bè. Đồng ý?
MERGE_FB,Login FB,Đăng nhập
PROFILE_SAVE,Save,Lưu
PROFILE_TYTLE,text_profile1,text_profile2
PROFILE_FB_LOGOUT,Logout,Đăng xuất
PROFILE_PROFILE,Profile,Thông tin
PROFILE_LV,Level: ,Cấp độ: 
PROFILE_WIN_RATING,Win: ,Tỷ lệ thắng: 
DECOR_TYTLE,decor1,decor2
FEED_BACK,Feed Back,Góp ý

MESSAGE_OK,Ok,Chấp nhận
MESSAGE_CANCEL,Cancel,Hủy bỏ

RANKING_MOST_GOLD,TOP CHIP, Đại Gia
RANKING_MOST_WIN,TOP LEVEL,Cao Thủ
RANKING_RANK,RANK,STT
RANKING_PLAYER,PLAYER,Người Chơi
RANKING_TYTLE,textranks1,textranks2

TOPUP_TITLE_CARD,Card,Thẻ cào
TOPUP_SERIAL,Serial Number,Số Serial
TOPUP_PIN,Pin Code,Mã Pin
TOPUP_NEW_CARD,New Card,Nhập thẻ
TOPUP_SUBMIT,Submit,Gửi
TOPUP_LIST_CARD,List Card:,Danh sách thẻ:
TOPUP_TYTLE,texttopup1,texttopup2
TOPUP_PURCHASED_SUCCESSFUL,"Purchased Successful","Nạp tiền thành công"
